SysTime,GameTime,Event
18:39:58.622,2.513186,show Practice Left
18:40:00.413,4.304922,hide Practice Left
18:40:00.692,4.583122,show Practice Right
18:40:07.661,11.55313,hide Practice Right
18:40:07.850,11.74095,show Pattern E Right
18:40:08.072,11.96414,hide Pattern E Right
18:40:08.262,12.15406,show Pattern E Left
18:40:08.418,12.30986,hide Pattern E Left
18:40:08.586,12.47754,show Pattern C Right
18:40:08.741,12.63302,hide Pattern C Right
18:40:08.876,12.76714,show Pattern A Left
