SysTime,GameTime,Event
18:39:01.736,3.026076,show Practice Left
18:39:02.938,4.229064,hide Practice Left
18:39:03.151,4.440761,show Practice Right
18:39:04.118,5.407979,hide Practice Right
18:39:04.296,5.585503,show Pattern D Right
18:39:04.941,6.230851,hide Pattern D Right
18:39:05.129,6.419663,show Pattern C Left
18:39:05.341,6.63093,hide Pattern C Left
18:39:05.519,6.808444,show Pattern B Left
18:39:05.741,7.031036,hide Pattern B Left
