SysTime,GameTime,Event
21:57:22.786,190.9969,show Pattern A Left
21:57:31.940,200.1531,hide Pattern A Left
21:57:43.440,211.6525,show Pattern E Right
21:57:47.348,215.5609,hide Pattern E Right
21:57:55.949,224.1622,show Pattern B Right
21:58:01.721,229.9336,hide Pattern B Right
21:58:08.930,237.1425,show Pattern E Left
21:58:14.884,243.0981,hide Pattern E Left
21:58:22.074,250.2835,show Pattern D Right
21:58:24.886,253.0965,hide Pattern D Right
21:59:03.711,291.9205,show Pattern E Left
21:59:13.850,302.0613,hide Pattern E Left
21:59:18.419,306.6297,show Pattern E Right
21:59:21.183,309.3942,hide Pattern E Right
22:01:16.519,424.7307,show Pattern B Left
22:01:25.473,433.685,hide Pattern B Left
22:01:49.151,457.3629,show Pattern A Right
22:01:52.751,460.9632,hide Pattern A Right
22:02:01.519,469.7314,show Pattern B Left
22:02:14.762,482.9756,hide Pattern B Left
22:02:42.786,510.9984,show Pattern B Right
22:02:47.842,516.0555,hide Pattern B Right
22:02:48.919,517.1312,show Pattern C Left
22:02:49.363,517.5756,hide Pattern C Left
22:02:49.944,518.1453,show Pattern A Left
22:02:53.808,522.0093,hide Pattern A Left
22:03:06.063,534.2637,show Pattern C Right
22:03:10.495,538.697,hide Pattern C Right
22:03:20.118,548.3195,show Pattern C Left
22:03:24.331,552.5324,hide Pattern C Left
22:03:41.642,569.8435,show Pattern C Right
22:04:33.928,622.1302,hide Pattern C Right
22:04:37.185,625.3868,show Pattern D Left
22:04:41.129,629.331,hide Pattern D Left
22:04:50.070,638.2729,show Pattern A Right
22:04:52.784,640.9864,hide Pattern A Right
22:04:58.594,646.7968,show Pattern D Left
22:05:01.640,649.8419,hide Pattern D Left
22:05:13.239,661.4417,show Pattern D Right
22:05:17.071,665.2738,hide Pattern D Right
