SysTime,GameTime,Event
20:22:30.259,13.40906,show Pattern A Right
20:22:34.387,17.53829,hide Pattern A Right
20:22:39.721,22.8719,show Pattern B Right
20:22:44.523,27.67444,hide Pattern B Right
20:22:47.881,31.03149,show Pattern B Left
20:22:50.949,34.09978,hide Pattern B Left
