SysTime,GameTime,Condition,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeGazeOriginX,EyeGazeOriginY,EyeGazeOriginZ,EyeGazeDirX,EyeGazeDirY,EyeGazeDirZ,LeftPupilDiameter,RightPupilDiameter
22:17:27.975,138.658,Pattern A Left,0.1122865,1.538783,-0.4344407,10.75938,359.3525,0.5276294,0,0,0,0.0146087,0.1383974,0.990269,4.018302,4.450424
22:17:27.992,138.6765,Pattern A Left,0.1125627,1.538611,-0.434562,10.81624,359.4451,0.5090888,0,0,0,0.01387853,0.1391998,0.9901671,4.021594,4.464221
22:17:28.014,138.6985,Pattern A Left,0.112793,1.538541,-0.434707,10.88087,359.5259,0.4956471,0,0,0,0.01326494,0.139237,0.9901702,4.02628,4.470877
22:17:28.027,138.7123,Pattern A Left,0.1129202,1.538423,-0.4348121,10.91957,359.5688,0.4921018,0,0,0,0.01294638,0.1385102,0.9902764,4.015047,4.457978
22:17:28.043,138.7268,Pattern A Left,0.1130623,1.538218,-0.4349719,10.95598,359.6159,0.4889861,0,0,0,0.01315982,0.1381344,0.990326,4.002738,4.464189
22:17:28.054,138.7388,Pattern A Left,0.1131846,1.538132,-0.4351729,10.97872,359.6357,0.4889318,0,0,0,0.01325142,0.137327,0.9904372,4.011054,4.464731
22:17:28.066,138.7501,Pattern A Left,0.1132515,1.538016,-0.4352873,11.00096,359.6471,0.495757,0,0,0,0.01276112,0.1384053,0.9902934,4.003067,4.459976
22:17:28.077,138.7609,Pattern A Left,0.113417,1.537867,-0.4354713,11.01357,359.6491,0.4996793,0,0,0,0.01202688,0.1408,0.989965,3.984086,4.459464
22:17:28.087,138.772,Pattern A Left,0.1135016,1.537758,-0.435587,11.03014,359.6418,0.5072582,0,0,0,0.01128435,0.1440705,0.9895031,3.959463,4.461064
22:17:28.099,138.7832,Pattern A Left,0.1136111,1.537695,-0.4357521,11.03929,359.6202,0.5131738,0,0,0,0.009676053,0.1490819,0.9887775,3.941754,4.475589
22:17:28.109,138.794,Pattern A Left,0.1136773,1.537559,-0.4359331,11.05045,359.5881,0.5201274,0,0,0,0.008838304,0.1525639,0.9882541,3.950569,4.47521
22:17:28.121,138.8054,Pattern A Left,0.1137203,1.537456,-0.4360946,11.05675,359.5485,0.5215886,0,0,0,0.007453598,0.1551217,0.9878672,3.957899,4.474468
22:17:28.132,138.8166,Pattern A Left,0.1137365,1.537363,-0.4363392,11.06576,359.5039,0.5244972,0,0,0,0.006048111,0.1570486,0.9875724,3.961757,4.477812
22:17:28.143,138.8276,Pattern A Left,0.1137691,1.537287,-0.4365278,11.07455,359.4497,0.525859,0,0,0,0.003676278,0.1585696,0.987341,3.927837,4.473565
22:17:28.153,138.8385,Pattern A Left,0.1137853,1.537236,-0.4366848,11.07583,359.4109,0.5230495,0,0,0,0.002840365,0.158881,0.9872937,3.904579,4.470149
22:17:28.165,138.8497,Pattern A Left,0.1138433,1.537197,-0.4368861,11.07406,359.3478,0.5177785,0,0,0,0.003571723,0.1590172,0.9872693,3.919574,4.469415
22:17:28.177,138.8612,Pattern A Left,0.1138738,1.537148,-0.4370085,11.06763,359.2898,0.5103378,0,0,0,0.003858678,0.1600484,0.9871016,3.960319,4.46992
22:17:28.205,138.8891,Pattern A Left,0.1140041,1.53714,-0.4374795,11.00229,359.1377,0.4630761,0,0,0,0.004899774,0.1598443,0.9871301,3.887141,4.452417
22:17:28.227,138.9117,Pattern A Left,0.1140853,1.537192,-0.437687,10.91078,359.021,0.422566,0,0,0,0.005680224,0.1592734,0.9872181,3.881351,4.451344
22:17:28.248,138.9334,Pattern A Left,0.1141215,1.537361,-0.4378029,10.807,358.9221,0.3937033,0,0,0,0.006542664,0.1598512,0.9871194,3.890551,4.442597
22:17:28.271,138.9554,Pattern A Left,0.1143265,1.537619,-0.4379214,10.69962,358.8448,0.3615161,0,0,0,0.006787134,0.1607214,0.9869765,3.927367,4.441763
22:17:28.282,138.9665,Pattern A Left,0.114501,1.537742,-0.4380831,10.63935,358.8106,0.344741,0,0,0,0.006690812,0.160116,0.9870755,3.889271,4.437624
22:17:28.293,138.9774,Pattern A Left,0.1146407,1.537872,-0.4381748,10.59009,358.7818,0.3257945,0,0,0,0.006741394,0.1598688,0.9871153,3.892698,4.435593
22:17:28.304,138.9884,Pattern A Left,0.1147528,1.538006,-0.4382175,10.53923,358.7582,0.3100021,0,0,0,0.00681692,0.1566505,0.9876306,3.944108,4.36969
22:17:28.315,138.9998,Pattern A Left,0.1149706,1.538081,-0.4383032,10.48738,358.734,0.2934392,0,0,0,0.006598654,0.1474017,0.9890547,3.938965,4.370857
22:17:28.326,139.0108,Pattern A Left,0.1150999,1.538198,-0.4383234,10.44324,358.7152,0.2788859,0,0,0,0.006029954,0.1346984,0.9908683,3.945119,4.377626
22:17:28.337,139.0217,Pattern A Left,0.1151607,1.538283,-0.438409,10.4046,358.7015,0.2650401,0,0,0,0.005254052,0.1219493,0.9925224,3.94728,4.37736
22:17:28.348,139.0326,Pattern A Left,0.1152191,1.53834,-0.4384076,10.37009,358.6882,0.2477232,0,0,0,0.003901178,0.1098084,0.9939451,3.932065,4.356565
22:17:28.361,139.0451,Pattern A Left,0.1152991,1.538433,-0.4384136,10.33971,358.6761,0.2286838,0,0,0,0.003061969,0.1044515,0.9945253,3.906697,4.331571
22:17:28.371,139.056,Pattern A Left,0.1154653,1.538564,-0.4384281,10.31448,358.6674,0.2100909,0,0,0,0.002017019,0.1015042,0.9948331,3.873721,4.310266
22:17:28.383,139.0674,Pattern A Left,0.1155449,1.538616,-0.4383809,10.29608,358.6582,0.1937572,0,0,0,0.0008331999,0.09890963,0.9950961,3.841705,4.280175
22:17:28.394,139.0786,Pattern A Left,0.1156234,1.538655,-0.4383672,10.28755,358.6504,0.1819077,0,0,0,-0.0003775324,0.09772725,0.9952132,3.825636,4.26117
22:17:28.405,139.0893,Pattern A Left,0.1157007,1.538677,-0.4383526,10.28822,358.639,0.1716012,0,0,0,-0.000482538,0.09705184,0.9952792,3.81534,4.237774
22:17:28.416,139.1003,Pattern A Left,0.1157399,1.538639,-0.4383092,10.29734,358.6265,0.1573088,0,0,0,-0.001155681,0.09638996,0.995343,3.78612,4.227106
22:17:28.448,139.1324,Pattern A Left,0.1159313,1.538621,-0.4383909,10.34531,358.5837,0.1280586,0,0,0,-0.0006336392,0.09511707,0.9954659,3.709122,4.141311
22:17:28.459,139.1432,Pattern A Left,0.1161398,1.538517,-0.4383552,10.37142,358.5656,0.1180152,0,0,0,-0.00074247,0.09435301,0.9955385,3.627088,4.117879
22:17:28.470,139.1545,Pattern A Left,0.1162319,1.538484,-0.4383655,10.39459,358.5512,0.1112597,0,0,0,-0.0006584542,0.09377076,0.9955936,3.619221,4.106232
22:17:28.481,139.1657,Pattern A Left,0.1164423,1.538459,-0.4382997,10.41718,358.5427,0.1039814,0,0,0,-0.0005682637,0.09333728,0.9956344,3.616267,4.093631
22:17:28.492,139.1766,Pattern A Left,0.1166256,1.538367,-0.4382696,10.43439,358.5353,0.1017429,0,0,0,-0.000852091,0.09298498,0.9956672,3.609929,4.070687
22:17:28.503,139.1879,Pattern A Left,0.1167279,1.538325,-0.4382735,10.45648,358.5322,0.1017526,0,0,0,-0.0006855128,0.09292436,0.9956729,3.606606,4.051494
22:17:28.528,139.212,Pattern A Left,0.1168829,1.53828,-0.4382668,10.5185,358.5384,0.1041895,0,0,0,-0.000475661,0.09368853,0.9956014,3.563301,4.04408
22:17:28.553,139.2369,Pattern A Left,0.116945,1.538123,-0.4383188,10.58864,358.5555,0.1067306,0,0,0,-0.0003933987,0.09407891,0.9955646,3.548414,4.022333
22:17:28.574,139.2586,Pattern A Left,0.1169747,1.538029,-0.4383875,10.65861,358.5841,0.110353,0,0,0,-0.0009327338,0.08604513,0.9962908,3.549997,4.010732
22:17:28.590,139.2746,Pattern A Left,0.1170293,1.537885,-0.4385618,10.7093,358.6093,0.1021811,0,0,0,-0.003124527,0.07235947,0.9973737,3.555356,4.00839
22:17:28.608,139.2918,Pattern A Left,0.1171208,1.537843,-0.4386248,10.74911,358.64,0.1023717,0,0,0,-0.006225169,0.06260379,0.998019,3.556276,4.004638
22:17:28.624,139.3081,Pattern A Left,0.1172292,1.537785,-0.4387844,10.7783,358.6949,0.1059285,0,0,0,-0.00921603,0.05316604,0.9985431,3.539732,3.981126
22:17:28.634,139.3194,Pattern A Left,0.1174114,1.537772,-0.4388157,10.79036,358.7305,0.1099823,0,0,0,-0.01011758,0.05094592,0.9986501,3.539426,3.97331
22:17:28.646,139.3301,Pattern A Left,0.1175136,1.537745,-0.438844,10.79269,358.7672,0.1151047,0,0,0,-0.01101156,0.04941206,0.9987178,3.537235,3.969151
22:17:28.657,139.3414,Pattern A Left,0.117681,1.537746,-0.43883,10.796,358.8021,0.1170043,0,0,0,-0.01222126,0.04819046,0.9987634,3.53496,3.964041
22:17:28.667,139.3523,Pattern A Left,0.1177377,1.537722,-0.4388823,10.7978,358.8352,0.124262,0,0,0,-0.01335996,0.04733501,0.9987897,3.535128,3.955852
22:17:28.679,139.3632,Pattern A Left,0.1178905,1.537787,-0.4388736,10.80175,358.8631,0.1272695,0,0,0,-0.01437761,0.04619386,0.998829,3.529191,3.944634
22:17:28.689,139.3742,Pattern A Left,0.1179571,1.537782,-0.4389187,10.80253,358.888,0.1320577,0,0,0,-0.01441399,0.04511431,0.9988778,3.515867,3.937946
22:17:28.705,139.3889,Pattern A Left,0.1180626,1.537755,-0.4388808,10.81183,358.9062,0.139099,0,0,0,-0.01334161,0.04211853,0.9990236,3.49989,3.921664
