SysTime,GameTime,Event
21:51:18.793,84.86667,show Pattern C Right
21:51:24.490,90.56508,hide Pattern C Right
21:51:27.214,93.28829,show Pattern A Right
21:51:29.678,95.75373,hide Pattern A Right
21:51:30.600,96.67591,show Pattern E Right
21:51:31.252,97.32677,hide Pattern E Right
21:51:31.923,97.99835,show Pattern C Left
21:51:33.991,100.0667,hide Pattern C Left
21:51:35.113,101.1878,show Pattern E Left
21:51:36.401,102.4765,hide Pattern E Left
21:51:37.512,103.587,show Pattern B Right
21:51:38.792,104.8666,hide Pattern B Right
21:51:39.990,106.0652,show Pattern A Right
21:51:40.830,106.9063,hide Pattern A Right
21:51:41.435,107.5097,show Pattern A Left
21:51:42.349,108.4233,hide Pattern A Left
21:51:42.679,108.7542,show Pattern D Left
21:51:42.922,108.9973,hide Pattern D Left
21:51:43.135,109.2096,show Pattern B Left
21:51:43.371,109.4456,hide Pattern B Left
21:51:43.579,109.6539,show Pattern B Left
21:51:43.792,109.8678,hide Pattern B Left
21:51:43.989,110.0639,show Pattern C Right
21:51:44.203,110.2778,hide Pattern C Right
21:51:44.411,110.4859,show Pattern B Right
21:51:44.602,110.6787,hide Pattern B Right
21:51:44.777,110.8516,show Pattern E Left
21:51:44.957,111.0333,hide Pattern E Left
21:51:45.170,111.245,show Pattern A Left
21:51:45.447,111.5216,hide Pattern A Left
21:51:45.750,111.8251,show Pattern E Right
21:51:46.073,112.1481,hide Pattern E Right
21:51:46.347,112.4218,show Pattern D Right
21:51:46.657,112.7328,hide Pattern D Right
21:51:47.079,113.1543,show Pattern C Left
21:51:47.491,113.5666,hide Pattern C Left
21:51:47.814,113.8884,show Pattern D Right
21:51:48.117,114.1932,hide Pattern D Right
21:51:48.623,114.6985,show Pattern D Left
21:52:46.005,172.0806,hide Pattern D Left
